
Kizzie    	2	F	warm purple         	Healthy
Meryl     	2	F	warm purple         	Healthy
Bobbee    	1	F	warm purple         	Healthy
Francine  	1	F	dark navy blue      	Healthy
Grantham  	1	M	warm purple         	Healthy
Debi      	1	F	dark navy blue      	Healthy
Millisent 	1	F	warm purple         	Healthy
Shelley   	1	F	warm purple         	Healthy
Hedy      	1	F	warm purple         	Healthy
Sinclair  	1	M	warm purple         	Healthy
Jarret    	1	M	warm purple         	Healthy
Mallissa  	1	F	dark navy blue      	Healthy
Carmine   	1	F	warm purple         	Healthy
Anstice   	1	F	warm purple         	Healthy
Tildy     	1	F	warm purple         	Healthy
Annabelle 	1	F	dark navy blue      	Healthy
Linette   	1	F	warm purple         	Healthy
Sallyanne 	1	F	warm purple         	Healthy
Drucie    	1	F	warm purple         	Healthy
Kean      	0	M	warm purple         	Healthy
Veronika  	0	F	dark navy blue      	Healthy
Lynelle   	0	F	warm purple         	Healthy
Shandie   	0	F	dark navy blue      	Healthy
Lisbeth   	0	F	warm purple         	Healthy
Alonso    	0	M	warm purple         	Healthy
Barney    	0	M	warm purple         	Healthy
Velma     	0	F	warm purple         	Healthy
Fredericka	0	F	warm purple         	Healthy
Gussie    	0	F	dark navy blue      	Healthy
Christalle	0	F	warm purple         	Healthy
Minette   	0	F	warm purple         	Healthy
Courtney  	0	F	warm purple         	Healthy
Kassey    	0	F	dark navy blue      	Healthy
Jaimie    	0	M	warm purple         	Healthy
Andonis   	0	M	warm purple         	Healthy
Arch      	0	M	warm purple         	Radioactive
Lesley    	0	M	warm purple         	Healthy
Lenette   	0	F	warm purple         	Healthy
Kingston  	0	M	warm purple         	Healthy
Dom       	0	M	warm purple         	Healthy
Mirabella 	0	F	warm purple         	Healthy
Robert    	0	M	warm purple         	Healthy
Analise   	0	F	warm purple         	Healthy
Chilton   	0	M	warm purple         	Healthy
------------------------------------------------------------------------
Kellia    	9	F	warm purple         	Healthy
Leicester 	9	M	dark navy blue      	Healthy
Inness    	8	M	warm purple         	Healthy
Kacey     	8	F	dark navy blue      	Healthy
Myrilla   	7	F	warm purple         	Healthy
Pavel     	7	M	dark navy blue      	Healthy
Katusha   	7	F	warm purple         	Healthy
Lindsay   	6	M	warm purple         	Healthy
Elijah    	6	M	dark navy blue      	Healthy
Trescha   	6	F	warm purple         	Healthy
Skyler    	6	M	dark navy blue      	Healthy
Brita     	5	F	warm purple         	Healthy
Kinnie    	5	M	dark navy blue      	Healthy
Quinn     	5	F	warm purple         	Healthy
Kate      	5	F	dark navy blue      	Healthy
Gretna    	5	F	warm purple         	Healthy
Josy      	5	F	warm purple         	Healthy
Darline   	4	F	warm purple         	Healthy
Chester   	4	M	dark navy blue      	Healthy
Abby      	4	M	warm purple         	Healthy
Minnie    	4	F	dark navy blue      	Healthy
Rozelle   	4	F	warm purple         	Healthy
Dulcine   	4	F	warm purple         	Healthy
Angelica  	4	F	warm purple         	Healthy
Dedra     	3	F	warm purple         	Healthy
Gasparo   	3	M	dark navy blue      	Healthy
Danika    	3	F	warm purple         	Radioactive
Amby      	3	M	dark navy blue      	Healthy
Belinda   	3	F	warm purple         	Healthy
Vivianna  	3	F	warm purple         	Healthy
Collette  	3	F	warm purple         	Healthy
Georgine  	3	F	warm purple         	Healthy
Rebekkah  	3	F	warm purple         	Healthy
Delano    	3	M	dark navy blue      	Healthy
Kizzie    	3	F	warm purple         	Healthy
Meryl     	3	F	warm purple         	Healthy
Bobbee    	2	F	warm purple         	Healthy
Francine  	2	F	dark navy blue      	Healthy
Grantham  	2	M	warm purple         	Healthy
Debi      	2	F	dark navy blue      	Healthy
Millisent 	2	F	warm purple         	Healthy
Shelley   	2	F	warm purple         	Healthy
Hedy      	2	F	warm purple         	Healthy
Sinclair  	2	M	warm purple         	Healthy
Jarret    	2	M	warm purple         	Healthy
Mallissa  	2	F	dark navy blue      	Healthy
Carmine   	2	F	warm purple         	Healthy
Anstice   	2	F	warm purple         	Healthy
Tildy     	2	F	warm purple         	Healthy
Annabelle 	2	F	dark navy blue      	Healthy
Linette   	2	F	warm purple         	Healthy
Sallyanne 	2	F	warm purple         	Healthy
Drucie    	2	F	warm purple         	Healthy
Kean      	1	M	warm purple         	Healthy
Veronika  	1	F	dark navy blue      	Healthy
Lynelle   	1	F	warm purple         	Healthy
Shandie   	1	F	dark navy blue      	Healthy
Lisbeth   	1	F	warm purple         	Healthy
Alonso    	1	M	warm purple         	Healthy
Barney    	1	M	warm purple         	Healthy
Velma     	1	F	warm purple         	Healthy
Fredericka	1	F	warm purple         	Healthy
Gussie    	1	F	dark navy blue      	Healthy
Christalle	1	F	warm purple         	Healthy
Minette   	1	F	warm purple         	Healthy
Courtney  	1	F	warm purple         	Healthy
Kassey    	1	F	dark navy blue      	Healthy
Jaimie    	1	M	warm purple         	Healthy
Andonis   	1	M	warm purple         	Healthy
Arch      	1	M	warm purple         	Radioactive
Lesley    	1	M	warm purple         	Healthy
Lenette   	1	F	warm purple         	Healthy
Kingston  	1	M	warm purple         	Healthy
Dom       	1	M	warm purple         	Healthy
Mirabella 	1	F	warm purple         	Healthy
Robert    	1	M	warm purple         	Healthy
Analise   	1	F	warm purple         	Healthy
Chilton   	1	M	warm purple         	Healthy
Michell   	0	F	dark navy blue      	Healthy
Salli     	0	F	warm purple         	Healthy
Carlo     	0	M	warm purple         	Healthy
Benedicto 	0	M	warm purple         	Healthy
Hewie     	0	M	warm purple         	Healthy
Decca     	0	M	dark navy blue      	Healthy
Gib       	0	M	warm purple         	Healthy
Antone    	0	M	warm purple         	Healthy
Gannie    	0	M	dark navy blue      	Healthy
Chrystel  	0	F	warm purple         	Healthy
Ferdinanda	0	F	warm purple         	Radioactive
Zebedee   	0	M	warm purple         	Healthy
Caritta   	0	F	warm purple         	Healthy
Terence   	0	M	warm purple         	Healthy
Siward    	0	M	warm purple         	Healthy
Aloysius  	0	M	warm purple         	Healthy
Lucian    	0	M	warm purple         	Healthy
Lane      	0	F	warm purple         	Healthy
Roselia   	0	F	warm purple         	Healthy
Renie     	0	F	dark navy blue      	Healthy
Dominik   	0	M	dark navy blue      	Healthy
Harv      	0	M	warm purple         	Healthy
Ilsa      	0	F	warm purple         	Healthy
Park      	0	M	dark navy blue      	Healthy
Waldemar  	0	M	warm purple         	Healthy
Aubert    	0	M	warm purple         	Healthy
Nathanil  	0	M	dark navy blue      	Healthy
Karola    	0	F	warm purple         	Healthy
Helaine   	0	F	warm purple         	Healthy
Yorgo     	0	M	warm purple         	Healthy
------------------------------------------------------------------------
Kellia    	10	F	warm purple         	Healthy
Leicester 	10	M	dark navy blue      	Healthy
Inness    	9	M	warm purple         	Healthy
Kacey     	9	F	dark navy blue      	Healthy
Myrilla   	8	F	warm purple         	Healthy
Pavel     	8	M	dark navy blue      	Healthy
Katusha   	8	F	warm purple         	Healthy
Lindsay   	7	M	warm purple         	Healthy
Elijah    	7	M	dark navy blue      	Healthy
Trescha   	7	F	warm purple         	Healthy
Skyler    	7	M	dark navy blue      	Healthy
Brita     	6	F	warm purple         	Healthy
Kinnie    	6	M	dark navy blue      	Healthy
Quinn     	6	F	warm purple         	Healthy
Kate      	6	F	dark navy blue      	Healthy
Gretna    	6	F	warm purple         	Radioactive
Josy      	6	F	warm purple         	Healthy
Darline   	5	F	warm purple         	Healthy
Chester   	5	M	dark navy blue      	Healthy
Abby      	5	M	warm purple         	Healthy
Minnie    	5	F	dark navy blue      	Healthy
Rozelle   	5	F	warm purple         	Healthy
Dulcine   	5	F	warm purple         	Healthy
Angelica  	5	F	warm purple         	Healthy
Dedra     	4	F	warm purple         	Healthy
Gasparo   	4	M	dark navy blue      	Healthy
Danika    	4	F	warm purple         	Radioactive
Amby      	4	M	dark navy blue      	Healthy
Belinda   	4	F	warm purple         	Healthy
Vivianna  	4	F	warm purple         	Healthy
Collette  	4	F	warm purple         	Healthy
Georgine  	4	F	warm purple         	Healthy
Rebekkah  	4	F	warm purple         	Radioactive
Delano    	4	M	dark navy blue      	Healthy
Kizzie    	4	F	warm purple         	Healthy
Meryl     	4	F	warm purple         	Healthy
Bobbee    	3	F	warm purple         	Healthy
Francine  	3	F	dark navy blue      	Healthy
Grantham  	3	M	warm purple         	Healthy
Debi      	3	F	dark navy blue      	Healthy
Millisent 	3	F	warm purple         	Healthy
Shelley   	3	F	warm purple         	Healthy
Hedy      	3	F	warm purple         	Healthy
Sinclair  	3	M	warm purple         	Healthy
Jarret    	3	M	warm purple         	Radioactive
Mallissa  	3	F	dark navy blue      	Healthy
Carmine   	3	F	warm purple         	Healthy
Anstice   	3	F	warm purple         	Healthy
Tildy     	3	F	warm purple         	Healthy
Annabelle 	3	F	dark navy blue      	Healthy
Linette   	3	F	warm purple         	Healthy
Sallyanne 	3	F	warm purple         	Healthy
Drucie    	3	F	warm purple         	Healthy
Kean      	2	M	warm purple         	Healthy
Veronika  	2	F	dark navy blue      	Healthy
Lynelle   	2	F	warm purple         	Healthy
Shandie   	2	F	dark navy blue      	Healthy
Lisbeth   	2	F	warm purple         	Healthy
Alonso    	2	M	warm purple         	Healthy
Barney    	2	M	warm purple         	Healthy
Velma     	2	F	warm purple         	Healthy
Fredericka	2	F	warm purple         	Healthy
Gussie    	2	F	dark navy blue      	Healthy
Christalle	2	F	warm purple         	Healthy
Minette   	2	F	warm purple         	Healthy
Courtney  	2	F	warm purple         	Healthy
Kassey    	2	F	dark navy blue      	Healthy
Jaimie    	2	M	warm purple         	Healthy
Andonis   	2	M	warm purple         	Healthy
Arch      	2	M	warm purple         	Radioactive
Lesley    	2	M	warm purple         	Healthy
Lenette   	2	F	warm purple         	Healthy
Kingston  	2	M	warm purple         	Healthy
Dom       	2	M	warm purple         	Healthy
Mirabella 	2	F	warm purple         	Healthy
Robert    	2	M	warm purple         	Healthy
Analise   	2	F	warm purple         	Healthy
Chilton   	2	M	warm purple         	Healthy
Michell   	1	F	dark navy blue      	Healthy
Salli     	1	F	warm purple         	Healthy
Carlo     	1	M	warm purple         	Healthy
Benedicto 	1	M	warm purple         	Healthy
Hewie     	1	M	warm purple         	Healthy
Decca     	1	M	dark navy blue      	Healthy
Gib       	1	M	warm purple         	Healthy
Antone    	1	M	warm purple         	Healthy
