
Neilla    	3	F	muted pink          	Healthy
Herold    	3	M	muted pink          	Healthy
Lucina    	3	F	pale olive green    	Healthy
Charles   	3	M	pale olive green    	Healthy
Joni      	2	F	muted pink          	Healthy
Putnem    	2	M	pale olive green    	Healthy
Thor      	2	M	muted pink          	Healthy
Marius    	2	M	muted pink          	Healthy
Gunilla   	2	F	pale olive green    	Healthy
Edvard    	2	M	pale olive green    	Healthy
Abelard   	2	M	muted pink          	Healthy
Vevay     	2	F	muted pink          	Healthy
Costa     	2	M	muted pink          	Healthy
Carr      	2	M	pale olive green    	Healthy
Herby     	2	M	pale olive green    	Healthy
Leyla     	1	F	muted pink          	Healthy
Whitney   	1	M	pale olive green    	Healthy
Fernando  	1	M	muted pink          	Healthy
Ezri      	1	M	muted pink          	Healthy
Anthia    	1	F	pale olive green    	Healthy
Brenna    	1	F	pale olive green    	Healthy
Veda      	1	F	muted pink          	Healthy
Moreen    	1	F	muted pink          	Healthy
Jacinta   	1	F	muted pink          	Healthy
Shannon   	1	F	pale olive green    	Healthy
Dominic   	1	M	pale olive green    	Healthy
Sonnnie   	1	F	muted pink          	Healthy
Koressa   	1	F	muted pink          	Healthy
Garvy     	1	M	pale olive green    	Healthy
Kylie     	0	M	muted pink          	Healthy
Nichols   	0	M	muted pink          	Healthy
Raquela   	0	F	pale olive green    	Healthy
Bette-Ann 	0	F	pale olive green    	Healthy
Leena     	0	F	muted pink          	Healthy
Agace     	0	F	muted pink          	Healthy
Serene    	0	F	pale olive green    	Healthy
Eduardo   	0	M	pale olive green    	Healthy
Charles   	0	M	muted pink          	Healthy
Sharlene  	0	F	muted pink          	Radioactive
Lalo      	0	M	pale olive green    	Healthy
Skipp     	0	M	muted pink          	Healthy
Lancelot  	0	M	pale olive green    	Healthy
Findlay   	0	M	muted pink          	Healthy
------------------------------------------------------------------------
Ulrike    	10	F	muted pink          	Healthy
Aldridge  	10	M	pale olive green    	Healthy
Orelle    	9	F	muted pink          	Healthy
Tannie    	9	M	pale olive green    	Healthy
Terrill   	8	M	muted pink          	Healthy
Martie    	8	F	pale olive green    	Healthy
Lennie    	8	M	muted pink          	Healthy
Miller    	7	M	muted pink          	Healthy
Andie     	7	F	pale olive green    	Healthy
Hersch    	7	M	muted pink          	Healthy
Talbert   	7	M	muted pink          	Healthy
Elnar     	6	M	muted pink          	Healthy
Kleon     	6	M	pale olive green    	Healthy
Nestor    	6	M	muted pink          	Healthy
Goddard   	6	M	muted pink          	Healthy
Pat       	6	M	pale olive green    	Healthy
Rozella   	5	F	muted pink          	Healthy
Benson    	5	M	pale olive green    	Healthy
Ajay      	5	F	muted pink          	Healthy
Emma      	5	F	muted pink          	Healthy
Mia       	5	F	pale olive green    	Healthy
Gilly     	5	F	pale olive green    	Healthy
Malynda   	4	F	muted pink          	Healthy
Giffer    	4	M	pale olive green    	Healthy
Neilla    	4	F	muted pink          	Healthy
Herold    	4	M	muted pink          	Healthy
Lucina    	4	F	pale olive green    	Healthy
Charles   	4	M	pale olive green    	Healthy
Joni      	3	F	muted pink          	Healthy
Putnem    	3	M	pale olive green    	Healthy
Thor      	3	M	muted pink          	Healthy
Marius    	3	M	muted pink          	Healthy
Gunilla   	3	F	pale olive green    	Healthy
Edvard    	3	M	pale olive green    	Healthy
Abelard   	3	M	muted pink          	Healthy
Vevay     	3	F	muted pink          	Healthy
Costa     	3	M	muted pink          	Healthy
Carr      	3	M	pale olive green    	Healthy
Herby     	3	M	pale olive green    	Healthy
Leyla     	2	F	muted pink          	Healthy
Whitney   	2	M	pale olive green    	Healthy
Fernando  	2	M	muted pink          	Healthy
Ezri      	2	M	muted pink          	Healthy
Anthia    	2	F	pale olive green    	Healthy
Brenna    	2	F	pale olive green    	Healthy
Veda      	2	F	muted pink          	Healthy
Moreen    	2	F	muted pink          	Healthy
Jacinta   	2	F	muted pink          	Healthy
Shannon   	2	F	pale olive green    	Healthy
Dominic   	2	M	pale olive green    	Healthy
Sonnnie   	2	F	muted pink          	Healthy
Koressa   	2	F	muted pink          	Radioactive
Garvy     	2	M	pale olive green    	Healthy
Kylie     	1	M	muted pink          	Healthy
Nichols   	1	M	muted pink          	Healthy
Raquela   	1	F	pale olive green    	Healthy
Bette-Ann 	1	F	pale olive green    	Healthy
Leena     	1	F	muted pink          	Healthy
Agace     	1	F	muted pink          	Healthy
Serene    	1	F	pale olive green    	Healthy
Eduardo   	1	M	pale olive green    	Healthy
Charles   	1	M	muted pink          	Healthy
Sharlene  	1	F	muted pink          	Radioactive
Lalo      	1	M	pale olive green    	Healthy
Skipp     	1	M	muted pink          	Healthy
Lancelot  	1	M	pale olive green    	Healthy
Findlay   	1	M	muted pink          	Healthy
Joe       	0	M	muted pink          	Healthy
Sher      	0	F	muted pink          	Healthy
Thia      	0	F	pale olive green    	Healthy
Cynde     	0	F	pale olive green    	Healthy
Taber     	0	M	muted pink          	Healthy
Galen     	0	M	muted pink          	Healthy
Rosita    	0	F	muted pink          	Healthy
Jesselyn  	0	F	pale olive green    	Healthy
Granthem  	0	M	pale olive green    	Healthy
Cherida   	0	F	muted pink          	Healthy
Candra    	0	F	pale olive green    	Healthy
Laura     	0	F	muted pink          	Healthy
Bart      	0	M	pale olive green    	Healthy
Elisabeth 	0	F	muted pink          	Healthy
Sol       	0	M	muted pink          	Healthy
Billy     	0	M	pale olive green    	Healthy
Jamil     	0	M	muted pink          	Healthy
Markos    	0	M	pale olive green    	Healthy
Dee Dee   	0	F	muted pink          	Healthy
------------------------------------------------------------------------
Orelle    	10	F	muted pink          	Healthy
Tannie    	10	M	pale olive green    	Healthy
Terrill   	9	M	muted pink          	Healthy
Martie    	9	F	pale olive green    	Healthy
Lennie    	9	M	muted pink          	Healthy
Miller    	8	M	muted pink          	Healthy
Andie     	8	F	pale olive green    	Healthy
Hersch    	8	M	muted pink          	Radioactive
Talbert   	8	M	muted pink          	Healthy
Elnar     	7	M	muted pink          	Healthy
Kleon     	7	M	pale olive green    	Healthy
Nestor    	7	M	muted pink          	Healthy
Goddard   	7	M	muted pink          	Healthy
Pat       	7	M	pale olive green    	Healthy
Rozella   	6	F	muted pink          	Healthy
Benson    	6	M	pale olive green    	Healthy
Ajay      	6	F	muted pink          	Healthy
Emma      	6	F	muted pink          	Healthy
Mia       	6	F	pale olive green    	Healthy
Gilly     	6	F	pale olive green    	Healthy
Malynda   	5	F	muted pink          	Healthy
Giffer    	5	M	pale olive green    	Healthy
Neilla    	5	F	muted pink          	Healthy
Herold    	5	M	muted pink          	Healthy
Lucina    	5	F	pale olive green    	Healthy
Charles   	5	M	pale olive green    	Healthy
Joni      	4	F	muted pink          	Healthy
Putnem    	4	M	pale olive green    	Healthy
Thor      	4	M	muted pink          	Healthy
Marius    	4	M	muted pink          	Healthy
Gunilla   	4	F	pale olive green    	Healthy
Edvard    	4	M	pale olive green    	Healthy
Abelard   	4	M	muted pink          	Healthy
Vevay     	4	F	muted pink          	Healthy
Costa     	4	M	muted pink          	Healthy
Carr      	4	M	pale olive green    	Healthy
Herby     	4	M	pale olive green    	Healthy
Leyla     	3	F	muted pink          	Healthy
Whitney   	3	M	pale olive green    	Healthy
Fernando  	3	M	muted pink          	Healthy
Ezri      	3	M	muted pink          	Healthy
Anthia    	3	F	pale olive green    	Healthy
Brenna    	3	F	pale olive green    	Healthy
Veda      	3	F	muted pink          	Healthy
Moreen    	3	F	muted pink          	Radioactive
Jacinta   	3	F	muted pink          	Healthy
Shannon   	3	F	pale olive green    	Healthy
Dominic   	3	M	pale olive green    	Healthy
Sonnnie   	3	F	muted pink          	Healthy
Koressa   	3	F	muted pink          	Radioactive
Garvy     	3	M	pale olive green    	Healthy
Kylie     	2	M	muted pink          	Healthy
Nichols   	2	M	muted pink          	Healthy
Raquela   	2	F	pale olive green    	Healthy
Bette-Ann 	2	F	pale olive green    	Healthy
Leena     	2	F	muted pink          	Healthy
Agace     	2	F	muted pink          	Healthy
Serene    	2	F	pale olive green    	Healthy
Eduardo   	2	M	pale olive green    	Healthy
Charles   	2	M	muted pink          	Healthy
Sharlene  	2	F	muted pink          	Radioactive
Lalo      	2	M	pale olive green    	Healthy
Skipp     	2	M	muted pink          	Healthy
Lancelot  	2	M	pale olive green    	Healthy
Findlay   	2	M	muted pink          	Healthy
Joe       	1	M	muted pink          	Radioactive
Sher      	1	F	muted pink          	Healthy
Thia      	1	F	pale olive green    	Healthy
Cynde     	1	F	pale olive green    	Healthy
Taber     	1	M	muted pink          	Healthy
Galen     	1	M	muted pink          	Radioactive
Rosita    	1	F	muted pink          	Healthy
Jesselyn  	1	F	pale olive green    	Healthy
Granthem  	1	M	pale olive green    	Healthy
Cherida   	1	F	muted pink          	Healthy
Candra    	1	F	pale olive green    	Healthy
Laura     	1	F	muted pink          	Healthy
Bart      	1	M	pale olive green    	Healthy
Elisabeth 	1	F	muted pink          	Healthy
Sol       	1	M	muted pink          	Healthy
Billy     	1	M	pale olive green    	Healthy
Jamil     	1	M	muted pink          	Healthy
Markos    	1	M	pale olive green    	Healthy
Dee Dee   	1	F	muted pink          	Healthy
Elsey     	0	F	muted pink          	Healthy
Marion    	0	M	pale olive green    	Healthy
Wendeline 	0	F	muted pink          	Healthy
Rabi      	0	M	muted pink          	Healthy
Allis     	0	F	muted pink          	Healthy
Syd       	0	M	pale olive green    	Healthy
Dani      	0	F	pale olive green    	Healthy
Marcello  	0	M	muted pink          	Healthy
Faulkner  	0	M	muted pink          	Healthy
Aldin     	0	M	pale olive green    	Healthy
Tomkin    	0	M	muted pink          	Healthy
Alix      	0	M	pale olive green    	Healthy
Shannan   	0	M	muted pink          	Healthy
Francesco 	0	M	pale olive green    	Healthy
Riley     	0	M	muted pink          	Healthy
Kerrin    	0	F	muted pink          	Healthy
Chas      	0	M	pale olive green    	Healthy
Abramo    	0	M	muted pink          	Healthy
Camellia  	0	F	pale olive green    	Healthy
Erwin     	0	M	pale olive green    	Healthy
Fonz      	0	M	muted pink          	Healthy
Clywd     	0	M	muted pink          	Healthy
Lionel    	0	M	pale olive green    	Healthy
------------------------------------------------------------------------
Terrill   	10	M	muted pink          	Healthy
Martie    	10	F	pale olive green    	Healthy
Lennie    	10	M	muted pink          	Healthy
Miller    	9	M	muted pink          	Healthy
Andie     	9	F	pale olive green    	Healthy
Hersch    	9	M	muted pink          	Radioactive
Talbert   	9	M	muted pink          	Healthy
Elnar     	8	M	muted pink          	Healthy
Kleon     	8	M	pale olive green    	Healthy
Nestor    	8	M	muted pink          	Healthy
Goddard   	8	M	muted pink          	Healthy
Pat       	8	M	pale olive green    	Healthy
Rozella   	7	F	muted pink          	Healthy
Benson    	7	M	pale olive green    	Healthy
Ajay      	7	F	muted pink          	Healthy
Emma      	7	F	muted pink          	Radioactive
Mia       	7	F	pale olive green    	Healthy
Gilly     	7	F	pale olive green    	Healthy
Malynda   	6	F	muted pink          	Healthy
Giffer    	6	M	pale olive green    	Healthy
Neilla    	6	F	muted pink          	Radioactive
Herold    	6	M	muted pink          	Healthy
Lucina    	6	F	pale olive green    	Healthy
Charles   	6	M	pale olive green    	Healthy
Joni      	5	F	muted pink          	Healthy
Putnem    	5	M	pale olive green    	Healthy
Thor      	5	M	muted pink          	Healthy
Marius    	5	M	muted pink          	Healthy
Gunilla   	5	F	pale olive green    	Healthy
Edvard    	5	M	pale olive green    	Healthy
Abelard   	5	M	muted pink          	Healthy
Vevay     	5	F	muted pink          	Healthy
Costa     	5	M	muted pink          	Healthy
Carr      	5	M	pale olive green    	Healthy
Herby     	5	M	pale olive green    	Healthy
Leyla     	4	F	muted pink          	Healthy
Whitney   	4	M	pale olive green    	Healthy
Fernando  	4	M	muted pink          	Healthy
Ezri      	4	M	muted pink          	Healthy
Anthia    	4	F	pale olive green    	Healthy
Brenna    	4	F	pale olive green    	Healthy
Veda      	4	F	muted pink          	Healthy
Moreen    	4	F	muted pink          	Radioactive
Jacinta   	4	F	muted pink          	Radioactive
Shannon   	4	F	pale olive green    	Healthy
Dominic   	4	M	pale olive green    	Healthy
Sonnnie   	4	F	muted pink          	Healthy
Koressa   	4	F	muted pink          	Radioactive
Garvy     	4	M	pale olive green    	Healthy
Kylie     	3	M	muted pink          	Healthy
Nichols   	3	M	muted pink          	Healthy
Raquela   	3	F	pale olive green    	Healthy
Bette-Ann 	3	F	pale olive green    	Healthy
Leena     	3	F	muted pink          	Healthy
Agace     	3	F	muted pink          	Healthy
Serene    	3	F	pale olive green    	Healthy
Eduardo   	3	M	pale olive green    	Healthy
Charles   	3	M	muted pink          	Healthy
Sharlene  	3	F	muted pink          	Radioactive
Lalo      	3	M	pale olive green    	Healthy
Skipp     	3	M	muted pink          	Healthy
Lancelot  	3	M	pale olive green    	Healthy
Findlay   	3	M	muted pink          	Healthy
Joe       	2	M	muted pink          	Radioactive
Sher      	2	F	muted pink          	Healthy
Thia      	2	F	pale olive green    	Healthy
Cynde     	2	F	pale olive green    	Healthy
Taber     	2	M	muted pink          	Healthy
Galen     	2	M	muted pink          	Radioactive
Rosita    	2	F	muted pink          	Healthy
Jesselyn  	2	F	pale olive green    	Healthy
Granthem  	2	M	pale olive green    	Healthy
Cherida   	2	F	muted pink          	Healthy
Candra    	2	F	pale olive green    	Healthy
Laura     	2	F	muted pink          	Healthy
Bart      	2	M	pale olive green    	Healthy
Elisabeth 	2	F	muted pink          	Healthy
Sol       	2	M	muted pink          	Healthy
Billy     	2	M	pale olive green    	Healthy
Jamil     	2	M	muted pink          	Healthy
Markos    	2	M	pale olive green    	Healthy
Dee Dee   	2	F	muted pink          	Healthy
Elsey     	1	F	muted pink          	Healthy
Marion    	1	M	pale olive green    	Healthy
Wendeline 	1	F	muted pink          	Healthy
Rabi      	1	M	muted pink          	Healthy
Allis     	1	F	muted pink          	Radioactive
Syd       	1	M	pale olive green    	Healthy
Dani      	1	F	pale olive green    	Healthy
Marcello  	1	M	muted pink          	Healthy
Faulkner  	1	M	muted pink          	Healthy
Aldin     	1	M	pale olive green    	Healthy
Tomkin    	1	M	muted pink          	Healthy
Alix      	1	M	pale olive green    	Healthy
Shannan   	1	M	muted pink          	Healthy
Francesco 	1	M	pale olive green    	Healthy
Riley     	1	M	muted pink          	Healthy
Kerrin    	1	F	muted pink          	Radioactive
Chas      	1	M	pale olive green    	Healthy
Abramo    	1	M	muted pink          	Healthy
Camellia  	1	F	pale olive green    	Healthy
Erwin     	1	M	pale olive green    	Healthy
Fonz      	1	M	muted pink          	Healthy
Clywd     	1	M	muted pink          	Healthy
